Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Frankenstein,1931,100,106659,James Whale, This iconic horror film follows the obsessed scientist Dr. Henry Frankenstein (Colin Clive) as he attempts to create life by...,"Boris Karloff, Colin Clive, Mae Clarke, John Boles","Still unnerving to this day,"
The Babadook,2014,98,106702,Jennifer Kent, A troubled widow (Essie Davis) discovers that her son is telling the truth about a monster that entered their home...,"Essie Davis, Daniel Henshall, Noah Wiseman, Hayley McElhinney",
Jaws,1975,98,106290,Steven Spielberg," When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island,...","Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary","Compelling, well-crafted storytelling and a judicious sense of terror ensure Steven Spielberg's"
Bride of Frankenstein,1935,98,106600,James Whale," After recovering from injuries sustained in the mob attack upon himself and his creation, Dr. Frankenstein (Colin Clive) falls under...","Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson","An eccentric, campy, technically impressive, and frightening picture, James Whale's"
A Quiet Place,2018,96,118547,John Krasinski," If they hear you, they hunt you. A family must live in silence to avoid mysterious creatures that hunt by...","Emily Blunt, John Krasinski, Millicent Simmonds, Noah Jupe",No consensus yet.
The Invisible Man,2020,92,120137,Leigh Whannell," After staging his own suicide, a crazed scientist uses his power to become invisible to stalk and terrorize his ex-girlfriend....","Elisabeth Moss, Oliver Jackson-Cohen, Aldis Hodge, Storm Reid","Smart, well-acted, and above all scary,"
The Night of the Hunter,1955,95,102100,Charles Laughton, The Rev. Harry Powell (Robert Mitchum) is a religious fanatic and serial killer who targets women who use their sexuality...,"Robert Mitchum, Shelley Winters, Lillian Gish, Evelyn Varden",No consensus yet.
Nosferatu,1922,97,109466,F.W. Murnau," In this highly influential silent horror film, the mysterious Count Orlok (Max Schreck) summons Thomas Hutter (Gustav von Wangenheim) to...","Max Schreck, Alexander Granach, Gustav von Wangenheim, Greta Schroeder",No consensus yet.
King Kong,1933,98,108070,Merian C. Cooper, Actress Ann Darrow (Fay Wray) and director Carl Denham (Robert Armstrong) travel to the Indian Ocean to do location shoots...,"Fay Wray, Bruce Cabot, Robert Armstrong, Frank Reicher",No consensus yet.
Alien,1979,98,109040,Ridley Scott," In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey...","Tom Skerritt, Sigourney Weaver, John Hurt, Veronica Cartwright","A modern classic,"
Us,2019,93,126862,Jordan Peele," Accompanied by her husband, son and daughter, Adelaide Wilson returns to the beachfront home where she grew up as a...","Lupita Nyong'o, Winston Duke, Elisabeth Moss, Tim Heidecker",No consensus yet.
The Cabinet of Dr. Caligari,1919,99,114088,Robert Wiene," At a carnival in Germany, Francis (Friedrich Feher) and his friend Alan (Rudolf Lettinger) encounter the crazed Dr. Caligari (Werner...","Werner Krauss, Conrad Veidt, Lil Dagover, Friedrich Feher",No consensus yet.
Get Out,2017,98,127744,Jordan Peele," Now that Chris and his girlfriend, Rose, have reached the meet-the-parents milestone of dating, she invites him for a weekend...","Daniel Kaluuya, Allison Williams, Catherine Keener, Bradley Whitford",No consensus yet.
Psycho,1960,96,107555,Alfred Hitchcock," Phoenix secretary Marion Crane (Janet Leigh), on the lam after stealing $40,000 from her employer in order to run away...","Anthony Perkins, Janet Leigh, Vera Miles, John Gavin",No consensus yet.
