Movie Title,Year,Score,Adjusted Score,Director,Synopsis,Cast,Consensus
Riders of Justice,2020,96,102994,Anders Thomas Jensen," RIDERS OF JUSTICE follows recently-deployed Markus (Mads Mikkelsen), who is forced to return home to care for his teenage daughter...","Mads Mikkelsen, Nikolaj Lie Kaas, Andrea Heick Gadeberg, Lars Brygmann",No consensus yet.
CODA,2021,96,109169,SiÃ¢n Heder," Seventeen-year-old Ruby (Emilia Jones) is the sole hearing member of a deaf family -- a CODA, child of deaf adults....","Emilia Jones, Troy Kotsur, Marlee Matlin, Daniel Durant",
Judas and the Black Messiah,2021,96,116228,Shaka King," FBI informant William O'Neal infiltrates the Illinois Black Panther Party and is tasked with keeping tabs on their charismatic leader,...","Daniel Kaluuya, LaKeith Stanfield, Jesse Plemons, Dominique Fishback","An electrifying dramatization of historical events,"
The Reason I Jump,2020,97,98636,Jerry Rothwell," Based on the best-selling book by Naoki Higashida, THE REASON I JUMP is an immersive cinematic exploration of neuro-diversity through...",,
The Boy Behind the Door,2020,97,98895,David Charbonier," In The Boy Behind the Door, a night of unimaginable terror awaits twelve-year-old Bobby (Lonnie Chavis) and his best friend,...","Lonnie Chavis, Ezra Dewey, Kristin Bauer van Straten, Scott Michael Foster",No consensus yet.
The Human Voice,2020,97,98950,Pedro AlmodÃ³var, A woman watches time passing next to the suitcases of her ex-lover -- who is supposed to come pick her...,Tilda Swinton,
Flee,2021,97,99058,Jonas Poher Rasmussen, FLEE tells the story of Amin Nawabi as he grapples with a painful secret he has kept hidden for 20...,,"Depicting the refugee experience through vivid animation,"
The Lost Leonardo,2021,97,100653,Andreas Koefoed," THE LOST LEONARDO tells the inside story behind the Salvator Mundi, the most expensive painting ever sold at $450 million,...","Maria Teresa Fiorio, Frank ZÃ¶llner, Martin Kemp, Luke Syson",No consensus yet.
I Carry You With Me,2020,97,100579,Heidi Ewing," Based on true love, this decades spanning romance begins in Mexico between an aspiring chef (Armando Espitia) and a teacher...","Armando Espitia, Christian VÃ¡zquez, Michelle RodrÃ­guez, Ãngeles Cruz","A remarkable feature debut for director Heidi Ewing,"
Gunda,2020,97,100587,," Experiential cinema in its purest form, GUNDA chronicles the unfiltered lives of a mother pig, a flock of chickens, and...",,No consensus yet.
The Velvet Underground,2021,97,101132,Todd Haynes," The Velvet Underground created a new sound that changed the world of music, cementing its place as one of rock...","Mary Woronov, Jonathan Richman, John Cale, Maureen Ann Tucker",
The Truffle Hunters,2020,97,102556,Michael Dweck," A handful of men search for rare, expensive and delicious white Alba truffles deep in the forests of Piedmont, Italy....",,No consensus yet.
Shiva Baby,2020,97,104178,Emma Seligman," While at a Jewish funeral service with her parents, a college student has an awkward encounter with her sugar daddy...","Rachel Sennott, Molly Gordon, Polly Draper, Danny Deferrari",No consensus yet.
Pig,2021,97,109419,Michael Sarnoski," Living alone in the Oregon wilderness, a truffle hunter returns to Portland to find the person who stole his beloved...","Nicolas Cage, Alex Wolff, Adam Arkin, Nina Belforte","Like the animal itself,"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020,98,98560,Haruo Sotozaki," Falling forever into an endless dream... Tanjiro and the group have completed their rehabilitation training at the Butterfly Mansion, and...","Zach Aguilar, Abby Trott, Aleks Le, Bryce Papenbrook",
Liyana,2017,98,98728,Aaron Kopp, A Swazi girl embarks on a dangerous mission to save her twin brothers....,Gcina Mhlophe,No consensus yet.
Hope,2019,98,98724,Maria SÃ¸dahl, ANJA lives with TOMAS in a large family of biological children and stepchildren. For a number of years the two...,"Stellan Skarsgard, Andrea BrÃ¦in Hovig, Elli Rhiannon MÃ¼ller Osbourne, Johannes Joner",No consensus yet.
Assassins,2020,98,98637,Ryan White, The audacious murder of the brother of North Koreaâs Supreme Leader Kim Jon Un in a crowded Malaysian airport sparked...,,No consensus yet.
There Is No Evil,2020,98,98685,Mohammad Rasoulof," Shot in secret and smuggled out of Iran, There is No Evil is an anthology film comprising four moral tales...","Ehsan Mirhosseini, Shaghayegh Shoorian, Kaveh Ahangar, Alireza Zareparast",No consensus yet.
Days,2020,98,99222,Ming-liang Tsai," Kang lives alone in a big house. Through a glass faÃ§ade, he looks out onto the treetops lashed by wind...","Kang-sheng Lee, Anong Houngheuangsy",
My Heart Can't Beat Unless You Tell It To,2020,98,99009,Jonathan Cuartas," Dwight (Patrick Fugit) prowls the streets after dark. He searches each night for the lonely and forlorn, looking for people...","Patrick Fugit, Ingrid Sophie Schram, Owen Campbell, Moises L. Tovar","Unsettling and compelling in equal measure,"
Sweat,2020,98,99018,Magnus von Horn," Beloved fitness influencer Sylwia seemingly has it made: hundreds of thousands of social media followers, endorsement deals, photo spreads in...","Magdalena KoleÅnik, Julian Swiezewski, Aleksandra Konieczna, Zbigniew Zamachowski",No consensus yet.
Apples,2020,98,100881,Christos Nikou, ...,"Aris Servetalis, Sofia Georgovassili, Anna Kalaitzidou",
